Return Year,Region,Population,Run Timing,Hatchery Facility,Program Type,Conservation Unit ID,Conservation Unit Name,CU Acronym,DU #,Proposed DU Name,Proposed DU Short Name,JAZ Acronym,PNI Estimate Type (CWT),pHOS (CWT),pNOB (CWT),"PNI (CWT, incl. jacks)",Annual Biological Designation (CWT),PNI Calculation Description,CWT comments,PNI Estimate Type (Thermal),pHOS (Thermal),pNOB (Thermal),PNI (Thermal),Annual Biological Designation (Thermal),PNI Calculation Description,Thermal Mark Comments,pHOS (PBT),pNOB (PBT),PNI (PBT),PBT Comments,pHOS (biostandards w/o jacks),PNI (biostandards w/o jacks),pHOS (biostandards w/ jacks),PNI (biostandards w/ jacks),General Comments,Complete Cohort Years (CWT),Complete Cohort Years (Thermal),Years when the Proportion of the Release has > 5% Unassociated Tags (only applies to CWTs)
2018,SBC,Chilliwack River - fall,Fall,Chilliwack,OPS,CK-9008,Fraser-Harrison fall transplant_FA_0.3<<Bin>>,Chil_transp_F,DU_TBD6,0,0,LFR+GStr,Direct,0.56,0.35,0.384615385,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1986-2018,2016-2018,1992-2017
2002,SBC,Nitinat River,Fall,Nitinat,OPS,CK-031,West Vancouver Island-South_FA_0.x,SWVI,DU24,BC West Vancouver Island Ocean Fall (South),WVI/Ocean/Fall (South),WVI+WVI,Direct,0.56,0.35,0.384615385,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1985-2005,1997-2018,"1987-1989, 2003-2017"
1995,SBC,Chilliwack River - fall,Fall,Chilliwack,OPS,CK-9008,Fraser-Harrison fall transplant_FA_0.3<<Bin>>,Chil_transp_F,DU_TBD6,0,0,LFR+GStr,Direct,0.72,0.45,0.384615385,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1986-2018,2016-2018,"1985, 1992, 2005-2006, 2010, 2012-2013"
1998,SBC,Stave River,Summer,Inch,OPS,CK-9006,Fraser-Cross-CU Supplementation Exclusion<<Bin>>,FR-XCU,NA,0,0,LFR+GStr,Direct,0.62,0.39,0.386138614,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,"1982, 1984, 1996, 2002-2007"
2018,SBC,Puntledge River - fall,Fall,Puntledge,OPS,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,Direct,0.71,0.45,0.387931034,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1980-2018,,"1972, 1987-1991, 1993, 2000, 2005, 2009, 2014, 2016"
2007,SBC,Big Qualicum River,Fall,Big Qualicum,OPS,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,Direct,0.61,0.39,0.39,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1975-2018,,"1970-1971, 1979, 1994, 1996-2004, 2006, 2007"
1974,SBC,Stamp River - Robertson Creek,Fall,Robertson,OPS,CK-031,West Vancouver Island-South_FA_0.x,SWVI,DU24,BC West Vancouver Island Ocean Fall (South),WVI/Ocean/Fall (South),WVI+WVI,Partial Direct,0.61,0.39,0.39,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Only pNOB estimate available. pHOS was assumed to be equal to 1 minus pNOB.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1977-2018,1997-2018,"1978, 2016"
2003,SBC,Little Campbell River,Fall,Little Campbell River,DPI,CK-002,Boundary Bay_FA_0.3,BB,DU1,BC Southern Mainland - Boundary Bay Ocean Fall,BB+GStr/Ocean/Fall,BB+GStr,Direct,0.609550562,0.39,0.39017536,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.","This stock is not CWT'd. The estimates were populated in the CWT cells out of convenience. The hatchery fish had alternating ventral clips by brood year up to and including the 2015 brood year. Adipose clipped fish found in this river are assumed to be Green River stock from the US as no adipose clipped fish are applied to Boundary Bay chinook. All fish are trapped at the fence and are checked for marks and counted through. The only times that fish are missed is during high water events and chinook can possibly swim over the fence. Adipose clipped fish are not used for brood as they are assumed to be Green River. 2010 was the first year that adipose fin clipped fish showed up in the LCR. pNOB was estimated as the total of non clipped fish divided by the sum of non clipped fish and pelvic fin clipped fish. For 2010 onward, pHOS was calculated the total number of marked fish (adipose clipped and pelvic clipped) divided by the total escapement. Fish are selected for brood randomly (ventral clips and non clipped fish) except for making a point to collect jacks representative of the entire population by percentage. The random sampling description was provided by Bob Schaefer (Community Advisor, DFO). For our purposes, this was also assumed to be the case historically. ",No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,"This stock is not CWT'd. The estimates were populated in the CWT cells out of convenience. The hatchery fish had alternating ventral clips by brood year up to and including the 2015 brood year. Adipose clipped fish found in this river are assumed to be Green River stock from the US as no adipose clipped fish are applied to Boundary Bay chinook. All fish are trapped at the fence and are checked for marks and counted through. The only times that fish are missed is during high water events and chinook can possibly swim over the fence. Adipose clipped fish are not used for brood as they are assumed to be Green River. Fish are selected for brood randomly  except for making a point to collect jacks representative of the entire population by percentage. The random sampling description was provided by Bob Schaefer (Community Advisor, DFO). For our purposes, this was also assumed to be the case historically.",1990-2018,,
1992,SBC,Chilliwack River - fall,Fall,Chilliwack,OPS,CK-9008,Fraser-Harrison fall transplant_FA_0.3<<Bin>>,Chil_transp_F,DU_TBD6,0,0,LFR+GStr,Direct,0.56,0.37,0.397849462,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1986-2018,2016-2018,"1985, 1992, 2005-2006, 2010, 2012-2013"
1991,SBC,Tenderfoot Creek,Fall,Tenderfoot,OPS,CK-020,Southern Mainland-Georgia Strait_FA_0.x,SMn-GStr,DU18,BC South Coast - Georgia Strait Ocean Fall,SC+GStr/Ocean/Fall,SC+GStr,Direct,0.63,0.42,0.4,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,2010
2001,SBC,Big Qualicum River,Fall,Big Qualicum,OPS,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,Direct,0.6,0.4,0.4,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1975-2018,,"1970-1971, 1979, 1994, 1996-2004, 2006, 2007"
2010,SBC,Big Qualicum River,Fall,Big Qualicum,OPS,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,Direct,0.6,0.4,0.4,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1975-2018,,"1970-1971, 1979, 1994, 1996-2004, 2006, 2007"
2008,SBC,Porteau Cove,0,Tenderfoot,OPS,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Partial Direct,0.6,0.4,0.4,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Only pHOS estimate available. pNOB was assumed to be equal to 1 minus pHOS.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1996-2001,,"1999-2005, 2008-2012"
1995,SBC,Puntledge River - fall,Fall,Puntledge,OPS,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,Direct,0.6,0.4,0.4,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",Only pNOB estimate available. pHOS was assumed to be equal to 1 minus pNOB.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1980-2018,,"1972, 1987-1991, 1993, 2000, 2005, 2009, 2014, 2016"
1990,SBC,Puntledge River - fall,Fall,Puntledge,OPS,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,Direct,0.42,0.28,0.4,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1980-2018,,"1972, 1987-1991, 1993, 2000, 2005, 2009, 2014, 2016"
2002,SBC,Little Campbell River,Fall,Little Campbell River,DPI,CK-002,Boundary Bay_FA_0.3,BB,DU1,BC Southern Mainland - Boundary Bay Ocean Fall,BB+GStr/Ocean/Fall,BB+GStr,Direct,0.596078431,0.4,0.401574803,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.","This stock is not CWT'd. The estimates were populated in the CWT cells out of convenience. The hatchery fish had alternating ventral clips by brood year up to and including the 2015 brood year. Adipose clipped fish found in this river are assumed to be Green River stock from the US as no adipose clipped fish are applied to Boundary Bay chinook. All fish are trapped at the fence and are checked for marks and counted through. The only times that fish are missed is during high water events and chinook can possibly swim over the fence. Adipose clipped fish are not used for brood as they are assumed to be Green River. 2010 was the first year that adipose fin clipped fish showed up in the LCR. pNOB was estimated as the total of non clipped fish divided by the sum of non clipped fish and pelvic fin clipped fish. For 2010 onward, pHOS was calculated the total number of marked fish (adipose clipped and pelvic clipped) divided by the total escapement. Fish are selected for brood randomly (ventral clips and non clipped fish) except for making a point to collect jacks representative of the entire population by percentage. The random sampling description was provided by Bob Schaefer (Community Advisor, DFO). For our purposes, this was also assumed to be the case historically. ",No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,"This stock is not CWT'd. The estimates were populated in the CWT cells out of convenience. The hatchery fish had alternating ventral clips by brood year up to and including the 2015 brood year. Adipose clipped fish found in this river are assumed to be Green River stock from the US as no adipose clipped fish are applied to Boundary Bay chinook. All fish are trapped at the fence and are checked for marks and counted through. The only times that fish are missed is during high water events and chinook can possibly swim over the fence. Adipose clipped fish are not used for brood as they are assumed to be Green River. Fish are selected for brood randomly  except for making a point to collect jacks representative of the entire population by percentage. The random sampling description was provided by Bob Schaefer (Community Advisor, DFO). For our purposes, this was also assumed to be the case historically.",1990-2018,,
1994,SBC,Nicola River,Spring,Spius,OPS,CK-017,Lower Thompson_SP_1.2,LTh,DU15, BC Lower Thompson Stream Spring,LTh+GStr/Stream/Spring,LTh+GStr,Direct,0.61,0.41,0.401960784,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1989-2018,,"1981-1982, 1986, 1988, 1993, 1995-1997, 2000-2003, 2005-2008, 2010-2014"
1983,SBC,Little Qualicum River,Fall,Little Qualicum,OPS,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,Direct,0.65,0.44,0.403669725,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1984-2003,,"1970, 1996, 1998, 1999, 2003-2017"
2003,SBC,Chilliwack River - fall,Fall,Chilliwack,OPS,CK-9008,Fraser-Harrison fall transplant_FA_0.3<<Bin>>,Chil_transp_F,DU_TBD6,0,0,LFR+GStr,Direct,0.31,0.21,0.403846154,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1986-2018,2016-2018,"1985, 1992, 2005-2006, 2010, 2012-2013"
2016,Other,Atnarko River,Summer,Snootli,OPS,CK-039,Bella Coola-Bentinck,BCR-BENT, ,0,0,BCD+HStr,Direct,0.59,0.4,0.404040404,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,"1980-1981, 1986-2005, 2010-2018",,"1973, 1978, 1981-1984, 1988, 1992, 1994, 2003-2004"
1987,SBC,Big Qualicum River,Fall,Big Qualicum,OPS,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,Direct,0.59,0.4,0.404040404,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1975-2018,,"1970-1971, 1979, 1994, 1996-2004, 2006, 2007"
2014,SBC,Puntledge River - summer,Summer,Puntledge,OPS,CK-083,East Vancouver Island-Georgia Strait_SU_0.3,EVIGStr-sum,DU20,BC East Vancouver Island Ocean Summer,EVI+GStr/Ocean/Summer,EVI+GStr,Direct,0.59,0.4,0.404040404,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,0.795342528,,0.791805308,,,1976-2018,2018,"1971, 1983, 1991, 1994, 1997, 2000, 2011, 2014"
1988,SBC,Stamp River - Robertson Creek,Fall,Robertson,OPS,CK-031,West Vancouver Island-South_FA_0.x,SWVI,DU24,BC West Vancouver Island Ocean Fall (South),WVI/Ocean/Fall (South),WVI+WVI,Direct,0.66,0.45,0.405405405,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1977-2018,1997-2018,"1978, 2016"
1988,SBC,Conuma River,Fall,Conuma,OPS,CK-032,West Vancouver Island-Nootka and Kyuquot_FA_0.x,NoKy,DU25,BC West Vancouver Island Ocean Fall (Nootka & Kyuquot),WVI/Ocean/Fall (Nootka & Kyuquot),WVI+WVI,Direct,0.32,0.22,0.407407407,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ","Thermally marked. Otolith samples from Conuma are from fish taken from the river, so there is only one stratum, and pHOS = pHOB, for all the Conuma hatchery stocks. There are no swim ins, and the mark rate in brood is assumed to be the same as the rest of the river",,,#DIV/0!,,,,,,,1984-2005,2011-2018,"1988, 1991-1992, 1995, 2003-2017"
2012,Other,Atnarko River,Summer,Snootli,OPS,CK-039,Bella Coola-Bentinck,BCR-BENT, ,0,0,BCD+HStr,Direct,0.58,0.4,0.408163265,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,"1980-1981, 1986-2005, 2010-2018",,"1973, 1978, 1981-1984, 1988, 1992, 1994, 2003-2004"
2018,SBC,Puntledge River - summer,Summer,Puntledge,OPS,CK-083,East Vancouver Island-Georgia Strait_SU_0.3,EVIGStr-sum,DU20,BC East Vancouver Island Ocean Summer,EVI+GStr/Ocean/Summer,EVI+GStr,Direct,0.58,0.4,0.408163265,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,0.89,0.11,0.11,Estimate only available for pHOS. pNOB assumed to be equal to 1 minus pHOS.,,,,,,1976-2018,2018,"1971, 1983, 1991, 1994, 1997, 2000, 2011, 2014"
2003,SBC,Stave River,Summer,Inch,OPS,CK-9006,Fraser-Cross-CU Supplementation Exclusion<<Bin>>,FR-XCU,NA,0,0,LFR+GStr,Direct,0.58,0.4,0.408163265,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,"1982, 1984, 1996, 2002-2007"
2008,SBC,Big Qualicum River,Fall,Big Qualicum,OPS,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,Direct,0.62,0.43,0.40952381,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1975-2018,,"1970-1971, 1979, 1994, 1996-2004, 2006, 2007"
